zpid,city,streetAddress,zipcode,latitude,longitude,propertyTaxRate,garageSpaces,hasAssociation,hasCooling,hasGarage,hasHeating,hasSpa,hasView,homeType,parkingSpaces,yearBuilt,latestPrice,numPriceChanges,latest_salemonth,latest_saleyear,latestPriceSource,numOfPhotos,numOfAccessibilityFeatures,numOfAppliances,numOfParkingFeatures,numOfPatioAndPorchFeatures,numOfSecurityFeatures,numOfWaterfrontFeatures,numOfWindowFeatures,numOfCommunityFeatures,lotSizeSqFt,livingAreaSqFt,numOfPrimarySchools,numOfElementarySchools,numOfMiddleSchools,numOfHighSchools,avgSchoolDistance,avgSchoolRating,avgSchoolSize,MedianStudentsPerTeacher,numOfBathrooms,numOfBedrooms,numOfStories
185217484,austin,14004 Chisos Trl,78717,30.49563789,-97.79787445,2.21,0,0,0,1,0,1,1,Single Family,0,2008,400000,2,1,2020,Pure Gold Realty,20,0,3,2,0,0,0,0,0,7666,2228,1,0,1,1,1.9,8.333333333,1481,16,2,3,1
121719682,austin,14108 Laurinburg Dr,78717,30.49025726,-97.79174042,2.21,2,0,0,0,0,1,1,Residential,0,2015,699000,1,12,2020,Central Texas MLS,36,0,7,2,2,0,0,0,1,10890,4020,1,0,1,1,3.266666667,7.666666667,1259,14,4,4,2
116080981,austin,14405 Laurinburg Dr,78717,30.48877525,-97.79489899,2.21,2,0,0,0,0,1,1,Single Family,2,2013,549900,2,3,2018,Agent Provided,69,0,4,3,0,0,0,0,0,8494,3494,1,0,1,1,3.3,7.666666667,1259,14,5,4,2
83822421,austin,6700 Evelyn Rd,78747,30.08774757,-97.7052002,1.98,2,1,0,0,0,1,1,Mobile / Manufactured,2,2007,350000,6,3,2019,Agent Provided,27,0,3,2,0,0,0,0,0,107593.2,1216,1,0,1,1,5.2,3.333333333,1557,14,5,8,1
29462564,austin,14702 Menifee St,78725,30.2331543,-97.58731842,1.98,2,1,0,0,0,1,1,Single Family,2,1999,240000,2,12,2020,Agent Provided,10,0,4,2,2,0,0,0,0,5183,1534,1,0,1,1,1.8,3,1457,13,3,3,1
70355992,austin,15303 Lucian St,78725,30.23806572,-97.57801819,1.98,2,0,0,0,0,1,1,Single Family,2,2013,249900,1,12,2020,Broker Provided,35,2,3,2,1,1,0,0,0,7405,1738,1,0,1,1,1.966666667,3,1457,13,2,3,1
89659978,austin,14224 Canyon Trl,78717,30.49218941,-97.79308319,2.21,3,0,0,0,0,1,1,Single Family,3,2010,400000,2,4,2020,Broker Provided,21,0,3,3,2,1,0,1,0,12196.8,2630,1,0,1,1,2.033333333,8.333333333,1481,16,3,5,2
70355990,austin,15207 Lucian St,78725,30.23823738,-97.57833099,1.98,2,0,0,0,0,1,1,Single Family,2,2012,200000,1,1,2018,Agent Provided,33,0,5,2,0,0,0,0,0,8145,1652,1,0,1,1,1.966666667,3,1457,13,2,3,1
70333917,austin,12525 Verandah Ct,78726,30.42645645,-97.85929108,1.98,2,0,0,0,0,1,0,Single Family,2,2004,875000,2,11,2020,Agent Provided,38,0,8,2,4,1,0,0,0,30056.4,3402,1,0,1,1,2.066666667,7,1277,16,4,4,2
29471292,austin,9601 Cliffbrook Dr,78747,30.10340118,-97.71691132,1.98,2,1,0,0,0,1,1,Single Family,2,1970,164995,4,10,2020,Agent Provided,29,0,1,2,2,2,0,1,0,102366,2350,1,0,1,1,4.766666667,3.333333333,1557,14,2,3,1
241932966,austin,5509 Bonneville Bnd,78744,30.17614555,-97.69814301,1.98,2,0,0,0,0,1,1,Single Family,2,2016,287500,2,4,2019,Agent Provided,40,0,4,2,0,0,0,0,0,6141,1634,1,0,1,1,2.9,3.666666667,1532,12,2,3,1
116080975,austin,10912 Crosbyton Ln,78717,30.48899651,-97.79379272,2.21,2,0,0,0,0,1,1,Single Family,2,2013,650000,1,3,2020,Broker Provided,1,0,3,3,1,0,0,2,0,8363,3047,1,0,1,1,3.3,7.666666667,1259,14,4,4,1
145656987,austin,4606 Belfield Ln,78725,30.24176788,-97.57905579,1.98,0,0,0,1,0,1,1,Single Family,0,2015,196000,1,1,2019,Spyglass Realty and Investment,29,0,7,1,0,0,0,0,0,5532,1399,1,0,1,1,1.933333333,3,1457,13,2,3,1
83821490,austin,11223 Tom Sassman Rd,78747,30.0850296,-97.69979095,1.98,0,1,1,1,0,1,1,Single Family,0,1985,239999,5,8,2018,Agent Provided,35,0,1,0,0,0,0,0,0,411206.4,1264,1,0,1,1,5.366666667,3.333333333,1557,14,2,3,1
70333915,austin,12512 Verandah Ct,78726,30.42596436,-97.85840607,1.98,0,0,0,1,0,1,1,Single Family,0,2005,830000,5,9,2019,Agent Provided,37,0,4,1,1,3,0,1,0,19166.4,3573,1,0,1,1,2,7,1277,16,5,4,2
29462467,austin,14500 James Vincent Dr,78725,30.23158455,-97.59126282,1.98,0,0,0,1,0,1,1,Single Family,0,2000,219990,1,6,2019,Broker Provided,24,0,4,1,0,1,0,0,0,6229,2035,1,0,1,1,1.766666667,3,1457,13,3,3,2
89548387,austin,11928 Aitne Ln,78725,30.21509933,-97.63643646,1.98,0,0,0,1,0,1,1,Single Family,0,2009,195000,1,3,2019,Agent Provided,26,0,4,1,0,0,0,0,0,6751,1304,1,0,1,1,3.266666667,3,1457,13,2,3,1
29366912,austin,14423 Ridgetop Ter,78732,30.41598701,-97.90055847,1.98,7,0,0,0,0,0,0,Single Family,7,2005,4250000,7,8,2018,Broker Provided,40,0,7,2,0,0,0,0,0,106286.4,7284,1,0,1,1,4.1,7,1277,16,7,7,2
241932964,austin,5524 Loma Alta Dr,78744,30.17544556,-97.69815826,1.98,2,0,0,0,0,1,1,Single Family,2,2016,309999,1,3,2018,Broker Provided,31,0,7,2,0,0,0,0,0,7100,1907,1,0,1,1,2.9,3.666666667,1532,12,3,3,2
29376494,austin,10707 Beckwood Dr,78726,30.4428997,-97.824646,1.98,2,0,0,0,0,1,1,Single Family,2,1988,427000,5,3,2020,Broker Provided,8,0,2,2,2,2,0,1,0,10890,2484,1,0,1,1,1.233333333,8,1275,15,3,4,2
69808963,austin,2703 Crownover St,78725,30.22610283,-97.59052277,1.98,0,0,0,1,0,1,1,Single Family,0,2006,205000,2,1,2018,Agent Provided,24,0,6,1,0,0,0,0,0,4399,2088,1,0,1,1,1.9,3,1457,13,3,4,1
121656950,austin,9704 Rodriguez Rd,78747,30.11837578,-97.70490265,1.98,0,1,0,1,0,1,1,Single Family,0,2013,300000,4,11,2018,Agent Provided,31,0,2,0,0,0,0,0,0,43560,2100,1,0,1,1,4.9,3.666666667,1532,12,3,4,1
185217474,austin,11429 Running Brush Ln,78717,30.49414444,-97.79753113,2.21,0,0,0,1,0,1,0,Single Family,0,2008,344600,3,9,2019,Agent Provided,41,0,5,2,2,0,0,2,0,6786,2134,1,0,1,1,2,8.333333333,1481,16,3,3,2
29366911,austin,14503 Ridgetop Ter,78732,30.41670609,-97.90070343,1.98,2,0,0,0,0,1,1,Single Family,2,2015,399900,1,6,2020,Agent Provided,40,0,4,2,1,4,0,0,0,8537,2629,1,0,1,1,3.133333333,3.666666667,1532,12,3,3,1
145657963,austin,7212 Garnet Mill Ln,78744,30.16147995,-97.72125244,1.98,2,1,0,0,0,0,1,Single Family,2,1991,648000,6,11,2020,Broker Provided,50,0,6,2,2,2,0,0,0,11325.6,2567,1,0,1,1,1.166666667,9,1616,16,3,4,2
29370494,austin,10700 Mcfarlie Cv,78750,30.42639351,-97.79273224,1.98,0,0,0,1,0,1,1,Single Family,0,2009,186500,1,2,2018,Austin City Realty Sales,6,0,3,1,0,0,0,0,0,7797,1420,1,0,1,1,3.3,3,1457,13,2,3,1
89548844,austin,2521 Elara Dr,78725,30.2131176,-97.63728333,1.98,2,0,0,0,0,1,1,Single Family,2,2015,219000,1,4,2020,Agent Provided,28,0,5,2,1,1,0,0,0,4617,1267,1,0,1,1,1.9,3,1457,13,2,3,1
125901465,austin,804 Hatton Hill Ct,78725,30.23823547,-97.58043671,1.98,0,0,0,1,0,1,1,Single Family,0,2004,179900,1,3,2018,Agent Provided,25,0,0,1,0,0,0,0,0,5924,1194,1,0,1,1,1.833333333,3,1457,13,2,3,1
63228462,austin,3100 Caleb Dr,78725,30.22929382,-97.59007263,1.98,0,0,0,1,0,1,1,Single Family,0,2011,405000,1,2,2020,Agent Provided,28,0,3,2,2,1,0,1,0,5619,2142,1,0,1,1,2.3,6,1228,14,2,3,1
96639474,austin,13500 Hymeadow Cir,78729,30.46325684,-97.78580475,2.21,5,0,0,0,0,1,0,Single Family,5,2006,2950000,4,10,2019,Agent Provided,40,0,4,4,0,0,0,0,0,68389.2,9591,1,0,1,1,3.533333333,7,1277,16,7,5,2
80094409,austin,14007 Panorama Dr,78732,30.41860008,-97.89057159,1.98,0,1,0,1,0,1,0,Single Family,0,1993,565000,1,8,2019,Agent Provided,25,0,2,1,3,2,0,0,0,1001880,2169,1,0,1,1,4.633333333,3.333333333,1557,14,3,3,2
64431038,austin,10207 Fm 1625,78747,30.11583138,-97.71607208,1.98,0,0,0,1,0,1,1,Single Family,0,2014,194098,1,3,2019,Agent Provided,9,0,5,1,0,0,0,0,0,5445,1296,1,0,1,1,3.333333333,3,1457,13,2,3,1
89547842,austin,2312 Elara Dr,78725,30.21501923,-97.63804626,1.98,1,0,0,0,0,1,1,Single Family,1,2018,255700,2,4,2019,Agent Provided,22,0,3,2,0,0,0,0,0,6098,2570,1,0,1,1,2.2,2.666666667,1478,13,3,4,2
251030464,austin,5708 Roderick Dr,78724,30.25937271,-97.58674622,1.98,0,0,0,1,0,1,1,Single Family,0,1989,495000,1,6,2019,Broker Provided,1,0,3,1,0,0,0,0,0,9147,3140,1,0,1,1,1.233333333,8,1275,15,3,5,2
29376491,austin,10701 Beckwood Dr,78726,30.44238663,-97.82499695,1.98,2,0,0,0,0,1,1,Single Family,2,2016,325000,4,8,2020,Broker Provided,67,0,4,2,1,1,0,1,0,6141,2068,1,0,1,1,2.9,3.666666667,1532,12,3,4,2
241932962,austin,5504 Loma Alta Dr,78744,30.1761322,-97.69773102,1.98,2,1,0,0,0,1,1,Single Family,2,1982,250000,1,8,2020,Broker Provided,31,0,3,2,2,0,0,0,0,64468.8,2736,1,0,1,1,4.833333333,3.333333333,1557,14,2,4,1
64729016,austin,10044 Vallejo Plains Ln #4,78719,30.10301971,-97.69129944,1.98,2,0,0,0,0,1,0,Single Family,2,2006,198500,4,4,2020,Agent Provided,27,0,5,2,1,1,0,0,0,5749,1807,1,0,1,1,1.866666667,3,1457,13,2,4,1
70355962,austin,15101 Nordyke Ln,78725,30.23895073,-97.5803299,1.98,2,0,0,0,0,1,0,Single Family,2,1990,485000,1,10,2020,Agent Provided,60,0,5,2,1,1,0,0,0,8624,2956,1,0,1,1,1.233333333,8,1275,15,3,5,1
29376490,austin,10615 Beckwood Dr,78726,30.44222832,-97.82511139,1.98,6,1,0,0,0,0,0,Single Family,6,1996,5495000,5,10,2020,Agent Provided,43,0,2,2,0,0,0,0,0,24829.2,8800,1,0,1,1,4.166666667,7,1277,16,8,5,3
29366907,austin,14515 Ridgetop Ter,78732,30.41809464,-97.90081787,1.98,2,0,0,0,0,1,1,Single Family,2,2016,440000,1,5,2020,Agent Provided,31,0,4,3,1,2,0,1,0,5536,2595,1,0,1,1,2.1,8.333333333,1481,16,3,5,2
250825472,austin,12100 Wickline Way,78717,30.49202919,-97.79917908,2.21,0,0,0,1,0,1,1,Single Family,0,2010,225000,2,2,2019,Broker Provided,19,0,5,1,0,0,0,0,0,9626,1420,1,0,1,1,3.3,3,1457,13,2,3,1
89550834,austin,2525 Elara Dr,78725,30.21296501,-97.63726807,1.98,2,0,0,0,0,1,0,Single Family,2,2003,207900,4,7,2018,Broker Provided,26,0,2,2,0,0,0,0,0,5314,1929,1,0,1,1,1.633333333,3,1457,13,2,3,1
64674953,austin,4010 Louise Lee Dr,78725,30.24004555,-97.58735657,1.98,2,0,0,0,0,0,1,Single Family,2,1976,575000,1,1,2021,Agent Provided,23,0,4,2,1,0,0,0,0,14810.4,2170,0,1,1,1,1.2,8.666666667,1632,16,2,4,1
29374483,austin,10714 Fountainbleu Cir,78750,30.43397141,-97.8055191,1.98,0,0,0,1,0,1,1,Single Family,0,1996,200000,1,9,2019,Agent Provided,30,0,2,1,0,1,0,0,0,6969,1592,1,0,1,1,1.766666667,3,1457,13,3,3,2
29461422,austin,4015 Ayala Dr,78725,30.23721313,-97.5835495,1.98,0,0,0,1,0,1,1,Single Family,0,2016,675000,2,7,2019,Agent Provided,40,0,3,2,1,0,0,0,0,12632.4,3837,1,0,1,1,3.266666667,7.666666667,1259,14,5,5,2
116080970,austin,10816 Crosbyton Ln,78717,30.48861694,-97.79280853,2.21,0,0,0,1,0,1,1,Single Family,0,2011,975000,1,1,2018,Broker Provided,36,0,3,1,0,0,0,0,0,58806,3450,1,0,1,1,1.9,7,1277,16,4,4,1
70333905,austin,8201 Denali Pkwy APT 2,78726,30.42463112,-97.8576889,1.98,6,1,0,0,0,1,1,Single Family,6,1976,259000,2,1,2019,Agent Provided,19,0,4,3,0,0,0,0,0,16552.8,1239,1,0,1,1,1.766666667,5.333333333,1369,12,2,3,1
29557482,austin,9512 Eddystone St,78729,30.45297623,-97.78694916,2.21,0,0,0,1,0,1,1,Single Family,0,2016,275000,1,2,2020,Agent Provided,40,0,4,1,0,0,0,1,0,5488,1449,1,0,1,1,2.9,3.666666667,1532,12,2,3,1
241932948,austin,7912 Annalise Dr,78744,30.17658806,-97.69738007,1.98,0,0,0,1,0,1,1,Single Family,0,1997,199999,4,8,2019,Broker Provided,18,0,3,1,1,0,0,0,0,5227,1335,1,0,1,1,1.733333333,3,1457,13,2,3,1
29461406,austin,14611 Highsmith St,78725,30.23699188,-97.58533478,1.98,2,0,0,0,0,1,1,Single Family,2,2020,268729,5,6,2020,Agent Provided,1,0,3,1,0,1,0,1,0,4800,1514,1,0,1,1,3.133333333,3,1457,13,2,3,1
2081704483,austin,12011 Clayton Creek Ave,78725,30.22005844,-97.63460541,1.98,0,0,0,1,0,1,1,Single Family,0,2013,625000,1,7,2019,Broker Provided,30,0,2,2,1,0,0,0,0,15681.6,3111,1,0,1,1,3.266666667,7.666666667,1259,14,3,4,1
116080962,austin,10701 Copper Basin Cv,78717,30.48804855,-97.79401398,2.21,4,0,0,0,0,1,1,Single Family,4,1989,435000,7,7,2020,Broker Provided,65,0,2,2,2,0,0,2,0,8973,3113,1,0,1,1,1.2,8,1275,15,3,4,2
29376480,austin,11204 Tanya Trl,78726,30.44311714,-97.82407379,1.98,0,0,0,1,0,1,1,Single Family,0,2016,285000,2,12,2018,Broker Provided,1,0,4,1,0,0,0,0,0,5662,1973,1,0,1,1,2.9,3.666666667,1532,12,3,3,2
241932946,austin,8016 Annalise Dr,78744,30.17620659,-97.6965332,1.98,0,0,0,1,0,1,1,Single Family,0,1995,399900,1,1,2019,Agent Provided,26,0,3,1,0,0,0,0,0,3963,1487,1,0,1,1,3.4,7,1177,16,2,2,1
29351492,austin,5602 Wolf Ct,78731,30.35284042,-97.79354858,1.98,0,0,0,1,0,1,1,Townhouse,0,2016,215000,1,8,2019,Agent Provided,27,0,3,1,0,0,0,0,0,5749,1370,1,0,1,1,1.833333333,3,1457,13,2,3,1
241932900,austin,809 Silver Wing Dr,78725,30.23677063,-97.58175659,1.98,2,0,0,0,0,1,1,Single Family,2,2000,519500,3,11,2020,Agent Provided,67,0,2,2,1,3,0,0,0,7666,3055,1,0,1,1,2.1,7,1277,16,4,4,2
29370900,austin,12709 Cloud Mountain Xing,78726,30.42306328,-97.86306763,1.98,0,0,0,1,0,1,1,Single Family,0,2010,450000,1,8,2018,Broker Provided,14,0,2,1,0,0,0,0,0,6368,2283,1,0,1,1,0.6,7,1381,16,3,4,2
110538990,austin,9621 Solana Vista Loop #B,78750,30.39213753,-97.8269043,1.98,0,0,0,1,0,1,1,Townhouse,0,1995,463700,1,10,2018,Agent Provided,37,0,2,1,0,0,0,0,0,9539,3115,1,0,1,1,1.533333333,8,1275,15,3,4,2
29372980,austin,11100 Amesite Trl,78726,30.43273163,-97.82700348,1.98,2,0,0,0,0,1,1,Single Family,2,1987,209900,1,3,2020,Agent Provided,23,0,7,2,0,0,0,1,0,5558,1419,1,0,1,1,1.666666667,3,1457,13,2,3,1
29459947,austin,14304 Rosseau St,78725,30.24313545,-97.58552551,1.98,2,0,0,0,0,1,1,Single Family,2,2016,375000,2,8,2020,Agent Provided,78,0,2,2,1,0,0,0,0,6969,2682,1,0,1,1,2.9,3.666666667,1532,12,5,7,2
241932936,austin,5217 Bonneville Bnd,78744,30.17849541,-97.6966629,1.98,2,0,0,0,0,1,1,Single Family,2,2014,229900,1,6,2020,Agent Provided,32,0,2,2,1,1,0,0,0,4573,1936,1,0,1,1,3.2,3,1457,13,3,4,2
89550803,austin,12008 Thyone Dr,78725,30.21564484,-97.63555145,1.98,2,0,0,0,0,1,0,Single Family,2,2001,549900,1,8,2018,Agent Provided,38,0,3,2,0,0,0,0,0,10105,3794,1,0,1,1,2.133333333,7,1277,16,4,4,2
29370898,austin,12726 Cloud Mountain Xing,78726,30.42333984,-97.8644104,1.98,0,0,0,1,0,1,1,Single Family,0,1983,690000,3,1,2019,Agent Provided,36,0,5,1,0,0,0,0,0,10367,2967,1,0,1,1,2.933333333,7,1523,17,3,4,2
29358990,austin,7003 Jester Blvd,78750,30.37599945,-97.7984848,1.98,0,0,0,1,0,1,1,Single Family,0,2014,584900,1,3,2019,Agent Provided,43,0,3,2,0,0,0,0,0,7501,3787,1,0,1,1,3.3,7.666666667,1259,14,4,5,2
116080957,austin,10704 Copper Basin Cv,78717,30.48835182,-97.79445648,2.21,2,0,0,0,0,1,1,Single Family,2,2011,287500,3,6,2018,Agent Provided,47,0,3,2,0,0,0,0,0,7623,2314,1,0,1,1,1.333333333,2.666666667,1063,14,3,5,1
111373282,pflugerville,1008 Bethel Way,78660,30.43100929,-97.66204071,1.98,0,0,0,1,0,1,1,Single Family,0,1977,599800,2,9,2019,Agent Provided,40,0,7,1,2,1,0,1,0,11325.6,2753,0,1,1,1,0.833333333,8.666666667,1632,16,3,5,1
29375979,austin,11902 Arch Hill Dr,78750,30.44328117,-97.79827881,1.98,0,0,0,1,0,1,1,Single Family,0,2016,325000,1,9,2018,Agent Provided,22,0,4,1,0,0,0,0,0,6185,2068,1,0,1,1,2.9,3.666666667,1532,12,3,4,2
241932935,austin,5229 Bonneville Bnd,78744,30.17821121,-97.69682312,1.98,2,0,0,0,0,1,1,Single Family,2,2006,350000,2,8,2020,Agent Provided,27,0,4,3,1,1,0,1,0,5140,1791,1,0,1,1,1.633333333,8.333333333,1481,16,3,3,2
80115957,austin,14904 Mistletoe Heights Dr,78717,30.50044441,-97.79090881,2.21,0,0,0,1,0,1,1,Single Family,0,2001,574900,1,3,2018,Agent Provided,1,0,3,1,0,0,0,0,0,11325.6,3338,1,0,1,1,2.133333333,7,1277,16,4,4,2
29370894,austin,12704 Cloud Mountain Xing,78726,30.42362785,-97.86334991,1.98,2,0,0,0,0,1,1,Single Family,2,2013,374000,3,4,2019,Agent Provided,25,0,3,2,0,0,0,0,0,6368,2283,1,0,1,1,0.6,7,1381,16,3,4,2
121658485,austin,9413 Solana Vista Loop #B,78750,30.39304733,-97.82636261,1.98,0,0,0,1,0,1,1,Condo,0,1977,699900,3,10,2019,Agent Provided,39,0,3,1,1,1,0,1,0,27442.8,2997,0,1,1,1,0.833333333,8.666666667,1632,16,3,4,1
29375978,austin,11907 Arch Hill Dr,78750,30.44368362,-97.79793549,1.98,0,0,0,1,0,1,1,Single Family,0,2017,205000,2,9,2019,Broker Provided,22,0,3,1,0,0,0,1,0,7274,1225,1,0,1,1,2.033333333,3,1457,13,2,3,1
145654939,austin,4617 Cleto St,78725,30.24139214,-97.57658386,1.98,2,0,0,0,0,1,1,Single Family,2,2002,425000,3,9,2020,Agent Provided,120,0,3,2,1,2,0,1,0,9670,2864,1,0,1,1,2.066666667,7,1277,16,3,5,1
29370884,austin,8225 Phantom Canyon Dr,78726,30.4257164,-97.86064148,1.98,0,0,0,1,0,1,1,Single Family,0,1984,425000,1,7,2019,Agent Provided,1,0,7,1,0,2,0,1,0,3920,1573,1,0,1,1,3.433333333,7,1177,16,2,3,1
29351485,austin,5706 Eagle Clfs,78731,30.35377121,-97.79362488,1.98,2,0,0,0,0,1,0,Single Family,2,1988,684000,3,10,2020,Agent Provided,55,0,3,2,1,1,0,0,0,10454,2656,1,0,1,1,1.2,9,1616,16,3,4,2
29372475,austin,9008 Scotsman Dr,78750,30.42850685,-97.79425049,1.98,2,0,0,0,0,1,0,Single Family,2,2002,359965,1,7,2020,Agent Provided,40,0,4,3,2,1,0,1,0,5140,1975,1,0,1,1,2,8.333333333,1481,16,3,4,2
185218453,austin,10512 Dunham Forest Rd,78717,30.49367523,-97.78601074,2.21,0,1,0,1,0,1,1,Single Family,0,1971,120000,7,6,2018,Agent Provided,23,0,1,1,0,0,0,0,0,9452,1745,1,0,1,1,2.466666667,3.666666667,480,14,2,4,1
29392994,austin,4602 Sherwyn Dr,78725,30.28166008,-97.66173553,1.98,0,0,0,1,0,1,1,Single Family,0,2011,225000,5,10,2018,Agent Provided,34,0,4,1,0,0,0,0,0,8276,1375,1,0,1,1,1.333333333,2.666666667,1063,14,2,3,1
111371253,pflugerville,1012 Bethel Way,78660,30.4310627,-97.66221619,1.98,0,0,0,1,0,1,1,Single Family,0,2017,388990,3,10,2018,Agent Provided,5,0,4,1,0,0,0,0,0,6969,2502,1,0,1,1,3.1,3.666666667,1532,12,3,4,1
